id,sex,dr,use,ht,race,edu,age,age_bin
MCDD0,M,3,TRN,"6'02""",WHT,BS,30,thirties
MCDR0,M,4,TRN,"5'10""",WHT,BS,25,twenties
FCDR1,F,5,TRN,"5'8""",BLK,HS,23,twenties
MCEF0,M,3,TRN,"5'8""",WHT,BS,28,twenties
FCEG0,F,8,TRN,"5'3""",WHT,BS,27,twenties
MCEW0,M,2,TRN,"6'02""",WHT,MS,46,fourties
FCFT0,F,4,TST,"5'3""",WHT,HS,22,twenties
MCHH0,M,7,TST,"6'5""",WHT,PHD,43,fourties
MCHL0,M,5,TRN,"6'3""",WHT,HS,25,twenties
FCJF0,F,1,TRN,"5'4""",WHT,BS,23,twenties
FCJS0,F,7,TRN,"5'9""",WHT,MS,41,fourties
FCKE0,F,3,TRN,"5'8""",WHT,BS,25,twenties
MCLK0,M,7,TRN,"5'10""",WHT,HS,21,twenties
MCLM0,M,5,TRN,"6'03""",WHT,BS,40,fourties
FCLT0,F,8,TRN,"5'0""",WHT,AS,39,thirties
MCMB0,M,5,TST,"6'3""",WHT,PHD,37,thirties
FCMG0,F,3,TRN,"5'6""",WHT,BS,25,twenties
FCMH0,F,3,TST,"5'08""",WHT,MS,42,fourties
FCMH1,F,8,TST,"5'06""",WHT,BS,23,twenties
MCMJ0,M,6,TST,"5'7""",WHT,MS,27,twenties
FCMM0,F,2,TRN,"5'2""",WHT,HS,25,twenties
FCMR0,F,2,TST,"5'3""",WHT,MS,34,thirties
MCPM0,M,1,TRN,"5'6""",WHT,BS,23,twenties
MCRC0,M,5,TST,"5'7""",WHT,MS,38,thirties
MCRE0,M,7,TRN,"6'0""",WHT,BS,25,twenties
FCRH0,F,4,TST,"5'4""",BLK,HS,27,twenties
FCRZ0,F,7,TRN,"5'2""",WHT,HS,56,fifties
MCSH0,M,3,TST,"5'11""",WHT,BS,53,fifties
MCSS0,M,4,TRN,"5'10""",WHT,BS,24,twenties
MCTH0,M,7,TRN,"6'2""",WHT,MS,26,twenties
MCTM0,M,2,TRN,"6'0""",WHT,HS,30,thirties
MCTT0,M,5,TST,"5'11""",WHT,BS,23,twenties
MCTW0,M,3,TST,"6'8""",???,BS,25,twenties
MCXM0,M,8,TRN,"5'9""",HIS,HS,27,twenties
FCYL0,F,2,TRN,"5'7""",WHT,BS,26,twenties
MDAB0,M,1,TST,"5'11""",WHT,BS,23,twenties
MDAC0,M,1,TRN,"5'10""",WHT,BS,25,twenties
FDAC1,F,1,TST,"5'01""",WHT,HS,67,sixties
MDAC2,M,5,TST,"5'10""",WHT,BS,25,twenties
MDAS0,M,5,TRN,"6'1""",WHT,BS,24,twenties
FDAS1,F,2,TRN,"5'09""",WHT,MS,26,twenties
FDAW0,F,1,TRN,"5'4""",WHT,HS,25,twenties
MDAW1,M,8,TST,"5'10""",WHT,BS,28,twenties
MDBB0,M,2,TST,"5'10""",WHT,MS,52,fifties
MDBB1,M,3,TRN,"5'11""",WHT,BS,24,twenties
MDBP0,M,2,TRN,"5'9""",WHT,BS,24,twenties
MDCD0,M,4,TRN,"5'11""",WHT,HS,52,fifties
MDCM0,M,7,TRN,"5'11""",WHT,MS,26,twenties
MDDC0,M,3,TRN,"5'7""",WHT,MS,32,thirties
MDED0,M,7,TRN,"5'10""",???,BS,26,twenties
MDEF0,M,3,TRN,"5'09""",WHT,BS,34,thirties
MDEM0,M,2,TRN,"6'0""",WHT,BS,24,twenties
FDFB0,F,3,TRN,"5'6""",???,BS,24,twenties
FDHC0,F,7,TST,"5'07""",WHT,MS,30,thirties
MDHL0,M,5,TRN,"5'8""",BLK,BS,33,thirties
MDHS0,M,3,TRN,"5'06""",WHT,MS,32,thirties
FDJH0,F,3,TRN,"5'02""",WHT,BS,25,twenties
MDJM0,M,3,TRN,"6'04""",WHT,BS,26,twenties
FDKN0,F,4,TRN,"6'0""",WHT,PHD,31,thirties
MDKS0,M,7,TRN,"6'5""",WHT,BS,29,twenties
MDLB0,M,2,TRN,"5'8""",WHT,AS,34,thirties
MDLC1,M,7,TRN,"6'1""",WHT,MS,35,thirties
MDLC2,M,2,TRN,"5'9""",WHT,MS,26,twenties
MDLD0,M,2,TST,"5'10""",WHT,MS,24,twenties
MDLF0,M,7,TST,"6'03""",WHT,BS,24,twenties
MDLH0,M,3,TRN,"5'11""",WHT,BS,30,thirties
MDLM0,M,7,TRN,"6'2""",WHT,MS,33,thirties
MDLR0,M,7,TRN,"5'8""",WHT,BS,29,twenties
MDLR1,M,7,TRN,"5'9""",WHT,AS,23,twenties
MDLS0,M,4,TST,"5'9""",WHT,MS,26,twenties
MDMA0,M,4,TRN,"5'9""",WHT,MS,27,twenties
FDML0,F,1,TRN,"5'6""",WHT,BS,22,twenties
FDMS0,F,4,TST,"5'4""",WHT,BS,32,thirties
MDMT0,M,2,TRN,"6'0""",WHT,MS,29,twenties
FDMY0,F,5,TRN,"5'6""",BLK,AS,25,twenties
FDNC0,F,2,TRN,"5'4""",WHT,HS,39,thirties
MDNS0,M,3,TRN,"5'8""",WHT,BS,30,thirties
MDPB0,M,7,TRN,"5'09""",WHT,MS,26,twenties
MDPK0,M,1,TRN,"5'2""",WHT,BS,25,twenties
MDPS0,M,2,TRN,"6'1""",WHT,HS,32,thirties
MDRB0,M,5,TST,"6'0""",BLK,BS,26,twenties
MDRD0,M,6,TRN,"6'5""",WHT,HS,24,twenties
FDRD1,F,2,TST,"5'04""",WHT,BS,22,twenties
MDRM0,M,4,TST,"6'0""",WHT,MS,30,thirties
FDRW0,F,6,TST,"5'2""",WHT,BS,24,twenties
MDSC0,M,6,TST,"5'7""",WHT,PHD,42,fourties
MDSJ0,M,5,TRN,"6'02""",WHT,MS,33,thirties
MDSS0,M,2,TRN,"5'9""",WHT,BS,27,twenties
MDSS1,M,3,TRN,"6'1""",WHT,BS,30,thirties
MDTB0,M,3,TRN,"5'10""",AMR,BS,43,fourties
FDTD0,F,5,TRN,"5'08""",BLK,BS,31,thirties
MDVC0,M,7,TST,"5'11""",WHT,PHD,31,thirties
MDWA0,M,5,TST,"5'11""",WHT,BS,26,twenties
MDWD0,M,2,TRN,"5'10""",WHT,BS,23,twenties
MDWH0,M,5,TRN,"6'2""",WHT,BS,24,twenties
MDWK0,M,5,TST,"5'08""",WHT,BS,54,fifties
MDWM0,M,3,TRN,"5'10""",WHT,BS,24,twenties
FDXW0,F,2,TRN,"5'09""",WHT,BS,24,twenties
FEAC0,F,2,TRN,"5'4""",WHT,BS,35,thirties
MEAL0,M,6,TRN,"5'10""",WHT,BS,22,twenties
FEAR0,F,5,TRN,"5'8""",WHT,HS,40,fourties
FECD0,F,1,TRN,"5'2""",WHT,BS,36,thirties
MEDR0,M,1,TRN,"5'6""",???,BS,25,twenties
FEDW0,F,4,TST,"5'7""",BLK,HS,25,twenties
FEEH0,F,4,TRN,"5'4""",WHT,BS,23,twenties
MEFG0,M,2,TRN,"5'8""",WHT,BS,29,twenties
MEJL0,M,6,TRN,"5'9""",WHT,MS,28,twenties
MEJS0,M,8,TRN,"5'11""",WHT,MS,35,thirties
FELC0,F,1,TST,"5'4""",WHT,BS,31,thirties
FEME0,F,3,TRN,"5'09""",WHT,BS,51,fifties
MERS0,M,7,TST,"5'8""",WHT,MS,29,twenties
MESD0,M,6,TST,"5'8""",WHT,BS,24,twenties
MESJ0,M,6,TRN,"5'8""",WHT,BS,28,twenties
FETB0,F,1,TRN,"5'0""",WHT,BS,25,twenties
MEWM0,M,5,TRN,"5'8""",WHT,HS,22,twenties
FEXM0,F,5,TRN,"5'4""",BLK,MS,31,thirties
MFER0,M,5,TRN,"6'03""",WHT,BS,29,twenties
MFGK0,M,5,TST,"5'6""",WHT,BS,28,twenties
MFMC0,M,3,TRN,"6'3""",WHT,BS,24,twenties
MFRM0,M,4,TRN,"5'11""",WHT,BS,29,twenties
MFWK0,M,4,TRN,"5'9""",WHT,BS,37,thirties
MFXS0,M,7,TRN,"5'6""",WHT,BS,40,fourties
MFXV0,M,7,TRN,"6'3""",WHT,PHD,44,fourties
MGAF0,M,3,TRN,"5'11""",WHT,MS,37,thirties
MGAG0,M,4,TRN,"6'0""",WHT,AS,23,twenties
MGAK0,M,7,TRN,"6'2""",WHT,MS,35,thirties
MGAR0,M,7,TRN,"5'10""",WHT,BS,24,twenties
MGAW0,M,7,TRN,"5'11""",WHT,BS,25,twenties
FGCS0,F,3,TRN,"5'03""",WHT,BS,23,twenties
FGDP0,F,5,TRN,"4'10""",BLK,BS,27,twenties
MGES0,M,5,TRN,"6'03""",WHT,MS,26,twenties
FGJD0,F,4,TST,"5'6""",WHT,HS,25,twenties
MGJF0,M,3,TST,"5'11""",WHT,MS,35,thirties
MGLB0,M,3,TST,"5'11""",WHT,MS,36,thirties
FGMB0,F,5,TRN,"5'8""",WHT,MS,27,twenties
FGMD0,F,5,TST,"5'3""",WHT,BS,23,twenties
MGMM0,M,4,TST,"5'10""",WHT,BS,23,twenties
MGRL0,M,1,TRN,"6'01""",WHT,BS,38,thirties
MGRP0,M,4,TRN,"6'1""",WHT,MS,56,fifties
MGRT0,M,7,TST,"6'03""",WHT,BS,29,twenties
FGRW0,F,3,TRN,"5'3""",WHT,HS,24,twenties
MGSH0,M,5,TRN,"6'0""",WHT,BS,28,twenties
MGSL0,M,7,TRN,"6'4""",WHT,PHD,38,thirties
FGWR0,F,7,TST,"5'08""",WHT,BS,25,twenties
MGWT0,M,2,TST,"5'06""",WHT,BS,64,sixties
MGXP0,M,4,TRN,"5'8""",BLK,BS,35,thirties
MHBS0,M,7,TRN,"5'10""",WHT,BS,24,twenties
FHES0,F,5,TST,"5'5""",WHT,MS,25,twenties
FHEW0,F,5,TST,"5'0""",WHT,HS,51,fifties
MHIT0,M,5,TRN,"5'9""",BLK,BS,27,twenties
MHJB0,M,3,TRN,"6'1""",WHT,BS,27,twenties
FHLM0,F,2,TRN,"5'03""",WHT,HS,42,fourties
MHMG0,M,5,TRN,"5'11""",WHT,BS,26,twenties
MHMR0,M,3,TRN,"5'10""",WHT,BS,24,twenties
MHPG0,M,3,TST,"5'9""",WHT,BS,38,thirties
MHRM0,M,2,TRN,"6'2""",WHT,AS,29,twenties
MHXL0,M,7,TRN,"5'10""",ORN,MS,34,thirties
FHXS0,F,6,TRN,"5'6""",WHT,BS,44,fourties
MILB0,M,3,TRN,"6'03""",WHT,BS,30,thirties
FISB0,F,7,TST,"5'10""",WHT,HS,35,thirties
MJAC0,M,4,TRN,"5'8""",WHT,BS,45,fourties
MJAE0,M,2,TRN,"5'09""",WHT,BS,22,twenties
MJAI0,M,7,TRN,"5'10""",WHT,BS,24,twenties
MJAR0,M,2,TST,"5'11""",WHT,BS,24,twenties
FJAS0,F,2,TST,"5'8""",WHT,PHD,38,thirties
MJBG0,M,2,TRN,"5'11""",WHT,BS,26,twenties
MJBR0,M,3,TST,"5'10""",WHT,MS,35,thirties
FJCS0,F,5,TST,"5'4""",WHT,BS,34,thirties
MJDA0,M,3,TRN,"5'7""",WHT,BS,32,thirties
MJDC0,M,4,TRN,"6'2""",WHT,BS,27,twenties
MJDE0,M,2,TRN,"6'0""",WHT,BS,23,twenties
MJDG0,M,7,TRN,"5'3""",ORN,BS,29,twenties
MJDH0,M,6,TST,"6'1""",WHT,BS,35,thirties
MJDM0,M,5,TRN,"6'1""",WHT,MS,35,thirties
MJDM1,M,4,TST,"6'0""",WHT,BS,24,twenties
FJDM2,F,6,TRN,"5'05""",WHT,BS,30,thirties
MJEB0,M,2,TRN,"5'8""",WHT,MS,38,thirties
MJEB1,M,1,TRN,"5'09""",WHT,MS,27,twenties
MJEE0,M,4,TRN,"5'11""",WHT,MS,29,twenties
FJEM0,F,1,TST,"5'6""",WHT,MS,34,thirties
FJEN0,F,7,TRN,"5'8""",WHT,BS,22,twenties
MJES0,M,3,TST,"5'5""",WHT,BS,23,twenties
MJFC0,M,6,TST,"6'0""",WHT,BS,27,twenties
MJFH0,M,5,TRN,"5'9""",WHT,MS,27,twenties
MJFR0,M,7,TRN,"5'8""",WHT,MS,46,fourties
MJHI0,M,2,TRN,"5'7""",BLK,HS,33,thirties
FJHK0,F,7,TRN,"5'2""",???,MS,25,twenties
MJJB0,M,3,TRN,"6'0""",WHT,BS,26,twenties
MJJG0,M,3,TST,"6'1""",WHT,BS,24,twenties
MJJJ0,M,4,TRN,"6'1""",WHT,BS,46,fourties
MJJM0,M,7,TRN,"6'01""",WHT,BS,23,twenties
FJKL0,F,2,TRN,"5'06""",WHT,BS,27,twenties
MJKR0,M,3,TRN,"6'6""",WHT,MS,32,thirties
MJLB0,M,4,TRN,"5'10""",WHT,BS,22,twenties
FJLG0,F,3,TRN,"5'4""",WHT,BS,23,twenties
MJLG1,M,3,TRN,"5'9""",WHT,BS,26,twenties
FJLM0,F,4,TST,"5'3""",WHT,BS,23,twenties
MJLN0,M,8,TST,"5'10""",WHT,MS,30,thirties
FJLR0,F,3,TRN,"5'4""",WHT,BS,25,twenties
MJLS0,M,4,TRN,"5'9""",WHT,BS,25,twenties
MJMA0,M,2,TRN,"5'10""",WHT,BS,23,twenties
MJMD0,M,2,TRN,"5'7""",WHT,MS,28,twenties
FJMG0,F,4,TST,"5'5""",WHT,MS,32,thirties
MJMM0,M,4,TRN,"5'9""",WHT,HS,27,twenties
MJMP0,M,3,TST,"6'01""",WHT,BS,23,twenties
MJPG0,M,5,TRN,"6'2""",WHT,BS,23,twenties
MJPM0,M,2,TRN,"6'2""",WHT,BS,27,twenties
MJPM1,M,4,TRN,"5'9""",WHT,HS,48,fourties
MJRA0,M,7,TRN,"5'11""",WHT,BS,30,thirties
FJRB0,F,8,TRN,"5'7""",WHT,AS,27,twenties
FJRE0,F,2,TST,"5'6""",WHT,BS,23,twenties
MJRF0,M,4,TST,"5'07""",WHT,MS,40,fourties
MJRG0,M,5,TRN,"6'1""",WHT,BS,29,twenties
MJRH0,M,4,TRN,"5'10""",WHT,BS,25,twenties
MJRH1,M,3,TRN,"6'0""",WHT,BS,23,twenties
MJRK0,M,6,TRN,"6'01""",WHT,MS,45,fourties
MJRP0,M,2,TRN,"5'11""",WHT,HS,27,twenties
FJRP1,F,7,TRN,"5'8""",WHT,HS,45,fourties
FJSA0,F,5,TST,"5'7""",WHT,BS,32,thirties
FJSJ0,F,8,TST,"5'05""",WHT,MS,36,thirties
FJSK0,F,7,TRN,"5'10""",WHT,BS,32,thirties
FJSP0,F,1,TRN,"5'3""",WHT,MS,36,thirties
MJSR0,M,4,TRN,"5'11""",SPN,HS,36,thirties
MJSW0,M,1,TST,"5'8""",WHT,MS,32,thirties
MJTC0,M,8,TST,"5'11""",ORN,MS,30,thirties
MJTH0,M,8,TST,"5'10""",WHT,MS,27,twenties
MJVW0,M,3,TST,"6'0""",WHT,MS,22,twenties
FJWB0,F,2,TST,"5'7""",WHT,MS,31,thirties
FJWB1,F,4,TRN,"5'6""",WHT,BS,29,twenties
MJWG0,M,5,TRN,"5'11""",WHT,BS,24,twenties
MJWS0,M,4,TRN,"5'11""",WHT,BS,46,fourties
MJWT0,M,1,TRN,"6'3""",WHT,BS,32,thirties
MJXA0,M,5,TRN,"5'11""",WHT,BS,36,thirties
MJXL0,M,4,TRN,"5'10""",WHT,HS,58,fifties
FJXM0,F,5,TRN,"5'3""",BLK,HS,27,twenties
FJXP0,F,4,TRN,"5'4""",WHT,BS,23,twenties
FKAA0,F,2,TRN,"5'6""",WHT,BS,27,twenties
MKAG0,M,7,TRN,"5'8""",WHT,BS,46,fourties
MKAH0,M,2,TRN,"6'00""",WHT,MS,29,twenties
MKAJ0,M,2,TRN,"5'6""",WHT,BS,30,thirties
MKAM0,M,4,TRN,"6'0""",WHT,MS,37,thirties
MKCH0,M,3,TST,"6'5""",WHT,PHD,30,thirties
MKCL0,M,4,TST,"5'6""",WHT,BS,39,thirties
MKDB0,M,7,TRN,"5'11""",WHT,MS,30,thirties
MKDD0,M,8,TRN,"6'00""",WHT,MS,30,thirties
FKDE0,F,7,TRN,"5'4""",WHT,AS,23,twenties
MKDR0,M,7,TST,"6'2""",WHT,BS,25,twenties
MKDT0,M,2,TRN,"5'08""",WHT,MS,28,twenties
FKDW0,F,4,TRN,"5'0""",WHT,BS,24,twenties
MKES0,M,6,TRN,"6'0""",WHT,BS,30,thirties
MKJL0,M,7,TST,"6'1""",WHT,MS,30,thirties
MKJO0,M,2,TRN,"6'00""",WHT,PHD,31,thirties
FKKH0,F,5,TRN,"5'5""",WHT,MS,27,twenties
FKLC0,F,4,TRN,"5'5""",WHT,BS,25,twenties
FKLC1,F,6,TRN,"5'6""",WHT,BS,23,twenties
FKLH0,F,8,TRN,"5'6""",WHT,BS,24,twenties
MKLN0,M,6,TRN,"5'8""",WHT,BS,29,twenties
MKLR0,M,7,TRN,"6'0""",WHT,BS,26,twenties
MKLS0,M,1,TRN,"5'6""",WHT,MS,33,thirties
MKLS1,M,3,TRN,"6'01""",WHT,BS,24,twenties
MKLT0,M,5,TST,"5'11""",WHT,BS,23,twenties
MKLW0,M,1,TRN,"5'09""",WHT,PHD,29,twenties
FKMS0,F,3,TST,"5'08""",WHT,MS,38,thirties
MKRG0,M,8,TRN,"6'00""",WHT,MS,25,twenties
FKSR0,F,7,TRN,"5'8""",WHT,BS,24,twenties
MKXL0,M,3,TRN,"5'11""",WHT,BS,26,twenties
FLAC0,F,3,TRN,"5'06""",WHT,BS,24,twenties
FLAG0,F,6,TRN,"5'02""",WHT,BS,24,twenties
FLAS0,F,7,TST,"5'06""",WHT,BS,24,twenties
MLBC0,M,4,TRN,"5'10""",WHT,MS,29,twenties
FLBW0,F,4,TST,"5'7""",WHT,BS,24,twenties
FLEH0,F,7,TRN,"5'5""",WHT,BS,24,twenties
MLEL0,M,4,TRN,"5'7""",WHT,MS,27,twenties
FLET0,F,7,TRN,"5'4""",WHT,BS,24,twenties
FLHD0,F,4,TRN,"5'4""",WHT,MS,38,thirties
FLJA0,F,5,TRN,"5'7""",WHT,MS,32,thirties
MLJB0,M,4,TST,"5'11""",WHT,HS,27,twenties
MLJC0,M,4,TRN,"5'10""",WHT,BS,24,twenties
FLJD0,F,3,TRN,"5'06""",WHT,BS,25,twenties
FLJG0,F,5,TRN,"5'7""",WHT,MS,64,sixties
MLJH0,M,4,TRN,"6'0""",AMR,AS,35,thirties
FLKD0,F,4,TST,"5'5""",WHT,BS,23,twenties
FLKM0,F,4,TRN,"5'2""",WHT,HS,35,thirties
MLLL0,M,4,TST,"5'6""",WHT,BS,26,twenties
FLMA0,F,2,TRN,"5'8""",WHT,BS,25,twenties
FLMC0,F,2,TRN,"5'8""",WHT,BS,22,twenties
FLMK0,F,5,TRN,"5'0""",WHT,BS,25,twenties
FLNH0,F,6,TST,"5'8""",WHT,BS,25,twenties
MLNS0,M,3,TRN,"5'6""",WHT,HS,26,twenties
MLNT0,M,3,TST,"5'6""",BLK,MS,32,thirties
FLOD0,F,5,TRN,"5'2""",WHT,BS,33,thirties
MLSH0,M,4,TRN,"5'9""",WHT,BS,31,thirties
FLTM0,F,3,TRN,"5'2""",WHT,BS,25,twenties
MMAA0,M,2,TRN,"5'10""",WHT,BS,26,twenties
MMAB0,M,3,TST,"5'10""",WHT,HS,27,twenties
MMAB1,M,5,TRN,"6'02""",WHT,BS,31,thirties
FMAF0,F,4,TST,"5'05""",WHT,BS,42,fourties
MMAG0,M,2,TRN,"6'2""",WHT,BS,22,twenties
FMAH0,F,5,TST,"5'3""",WHT,AS,23,twenties
FMAH1,F,7,TRN,"5'07""",WHT,BS,24,twenties
MMAM0,M,3,TRN,"5'11""",WHT,BS,24,twenties
FMBG0,F,8,TRN,"5'4""",WHT,BS,31,thirties
MMBS0,M,4,TRN,"6'2""",BLK,BS,25,twenties
MMCC0,M,5,TRN,"5'8""",WHT,BS,27,twenties
FMCM0,F,4,TST,"5'6""",WHT,BS,26,twenties
MMDB0,M,6,TRN,"5'10""",WHT,BS,32,thirties
MMDB1,M,2,TST,"5'10""",WHT,BS,23,twenties
MMDG0,M,7,TRN,"5'10""",WHT,BS,33,thirties
MMDH0,M,3,TST,"6'0""",WHT,MS,28,twenties
MMDM0,M,4,TRN,"6'3""",WHT,HS,27,twenties
MMDM1,M,5,TRN,"6'0""",WHT,HS,28,twenties
MMDM2,M,2,TST,"5'11""",WHT,MS,27,twenties
MMDS0,M,2,TRN,"6'0""",WHT,HS,20,twenties
MMEA0,M,8,TRN,"5'8""",WHT,MS,23,twenties
MMEB0,M,3,TRN,"6'0""",???,BS,44,fourties
FMEM0,F,1,TRN,"5'7""",WHT,HS,57,fifties
MMGC0,M,4,TRN,"6'2""",WHT,BS,32,thirties
FMGD0,F,6,TST,"5'05""",WHT,HS,54,fifties
MMGG0,M,1,TRN,"6'2""",WHT,MS,25,twenties
MMGK0,M,2,TRN,"6'2""",WHT,BS,22,twenties
FMJB0,F,2,TRN,"5'5""",WHT,HS,22,twenties
MMJB1,M,3,TRN,"6'0""",WHT,BS,26,twenties
FMJF0,F,3,TRN,"5'5""",WHT,MS,31,thirties
MMJR0,M,3,TST,"6'1""",WHT,BS,32,thirties
FMJU0,F,6,TRN,"5'3""",???,HS,26,twenties
FMKC0,F,7,TRN,"5'6""",WHT,MS,27,twenties
FMKF0,F,2,TRN,"5'03""",WHT,BS,27,twenties
FMLD0,F,8,TST,"5'02""",WHT,MS,25,twenties
MMLM0,M,8,TRN,"6'04""",WHT,MS,38,thirties
FMMH0,F,2,TRN,"5'06""",WHT,BS,23,twenties
FMML0,F,7,TST,"5'11""",WHT,BS,24,twenties
FMPG0,F,5,TRN,"5'5""",WHT,HS,53,fifties
MMPM0,M,8,TRN,"5'10""",WHT,BS,30,thirties
MMRP0,M,1,TRN,"5'7""",WHT,HS,27,twenties
MMSM0,M,3,TRN,"5'10""",WHT,BS,22,twenties
MMVP0,M,5,TRN,"5'8""",WHT,BS,24,twenties
MMWH0,M,3,TST,"6'0""",WHT,BS,26,twenties
MMWS0,M,8,TRN,"6'00""",WHT,BS,25,twenties
MMWS1,M,7,TRN,"5'6""",WHT,MS,31,thirties
MMXS0,M,2,TRN,"5'04""",WHT,AS,31,thirties
MNJM0,M,7,TST,"6'02""",WHT,BS,31,thirties
FNKL0,F,8,TRN,"5'07""",WHT,BS,25,twenties
FNLP0,F,5,TST,"5'8""",WHT,BS,30,thirties
MNLS0,M,7,TST,"6'00""",WHT,BS,42,fourties
FNMR0,F,4,TST,"5'8""",WHT,MS,31,thirties
FNTB0,F,3,TRN,"5'8""",WHT,MS,25,twenties
MNTW0,M,7,TRN,"6'4""",WHT,BS,25,twenties
MPAB0,M,7,TST,"5'7""",WHT,BS,31,thirties
FPAB1,F,7,TRN,"5'10""",WHT,BS,23,twenties
FPAC0,F,7,TRN,"5'2""",???,BS,23,twenties
FPAD0,F,6,TRN,"5'3""",WHT,MS,30,thirties
FPAF0,F,4,TRN,"5'5""",WHT,AS,42,fourties
MPAM0,M,8,TST,"6'0""",WHT,MS,28,twenties
MPAM1,M,6,TST,5'11,WHT,MS,51,fifties
MPAR0,M,7,TRN,"5'08""",WHT,BS,25,twenties
FPAS0,F,2,TST,"5'06""",WHT,BS,23,twenties
FPAZ0,F,3,TRN,"5'5""",WHT,BS,31,thirties
MPCS0,M,4,TST,"5'11""",WHT,BS,25,twenties
MPDF0,M,2,TST,"5'11""",WHT,BS,29,twenties
MPEB0,M,4,TRN,"6'0""",WHT,BS,30,thirties
MPFU0,M,7,TRN,"5'7""",WHT,BS,29,twenties
MPGH0,M,1,TRN,"5'08""",WHT,BS,22,twenties
MPGL0,M,2,TST,"6'0""",WHT,BS,24,twenties
MPGR0,M,1,TRN,"5'8""",WHT,BS,24,twenties
MPGR1,M,6,TRN,"5'10""",WHT,BS,26,twenties
FPJF0,F,2,TRN,"5'4""",WHT,BS,25,twenties
FPKT0,F,3,TST,"5'04""",WHT,BS,24,twenties
MPLB0,M,4,TST,"6'1""",WHT,HS,33,thirties
FPLS0,F,8,TRN,"5'6""",WHT,HS,21,twenties
MPMB0,M,5,TRN,"5'07""",WHT,BS,75,seventies
FPMY0,F,5,TRN,"5'6""",BLK,HS,27,twenties
MPPC0,M,2,TRN,"5'5""",WHT,BS,25,twenties
